Time	Node	Type	Packets	
10	127	CacheHits	109
10	127	CacheMisses	432
10	128	CacheHits	169
10	128	CacheMisses	527
10	129	CacheHits	441
10	129	CacheMisses	677
10	130	CacheHits	96
10	130	CacheMisses	300
10	131	CacheHits	120
10	131	CacheMisses	377
10	132	CacheHits	373
10	132	CacheMisses	484
10	133	CacheHits	0
10	133	CacheMisses	0
10	134	CacheHits	0
10	134	CacheMisses	0
10	135	CacheHits	0
10	135	CacheMisses	0
10	136	CacheHits	0
10	136	CacheMisses	0
10	137	CacheHits	0
10	137	CacheMisses	0
10	138	CacheHits	0
10	138	CacheMisses	0
10	139	CacheHits	0
10	139	CacheMisses	0
10	140	CacheHits	60
10	140	CacheMisses	241
10	141	CacheHits	172
10	141	CacheMisses	643
10	142	CacheHits	197
10	142	CacheMisses	439
10	143	CacheHits	177
10	143	CacheMisses	349
10	144	CacheHits	215
10	144	CacheMisses	504
10	145	CacheHits	197
10	145	CacheMisses	568
10	146	CacheHits	287
10	146	CacheMisses	743
10	147	CacheHits	131
10	147	CacheMisses	368
10	148	CacheHits	177
10	148	CacheMisses	486
10	149	CacheHits	359
10	149	CacheMisses	640
10	150	CacheHits	22
10	150	CacheMisses	195
10	151	CacheHits	42
10	151	CacheMisses	214
10	152	CacheHits	49
10	152	CacheMisses	249
10	153	CacheHits	87
10	153	CacheMisses	289
10	154	CacheHits	139
10	154	CacheMisses	360
10	155	CacheHits	360
10	155	CacheMisses	471
10	156	CacheHits	0
10	156	CacheMisses	0
10	157	CacheHits	0
10	157	CacheMisses	0
10	158	CacheHits	0
10	158	CacheMisses	0
10	159	CacheHits	0
10	159	CacheMisses	0
10	160	CacheHits	66
10	160	CacheMisses	281
10	161	CacheHits	179
10	161	CacheMisses	432
10	162	CacheHits	181
10	162	CacheMisses	621
10	163	CacheHits	0
10	163	CacheMisses	0
10	164	CacheHits	79
10	164	CacheMisses	233
10	165	CacheHits	0
10	165	CacheMisses	0
10	166	CacheHits	229
10	166	CacheMisses	736
